ID	group	field	groupID	replicate
Pt9C2	Perithecium	9	Pt9C	2
Pt9C3	Perithecium	9	Pt9C	3
Pt9C4	Perithecium	9	Pt9C	4
Pt9C5	Perithecium	9	Pt9C	5
St10B1	Straw	10	St10B	1
St10B2	Straw	10	St10B	2
St10B3	Straw	10	St10B	3
St10B4	Straw	10	St10B	4
St10B5	Straw	10	St10B	5
St11B1	Straw	2	St11B	1
St11B2	Straw	2	St11B	2
St11B3	Straw	2	St11B	3
St11B4	Straw	2	St11B	4
St11B5	Straw	2	St11B	5
St12B1	Straw	11	St12B	1
St12B2	Straw	11	St12B	2
St12B3	Straw	11	St12B	3
St12B4	Straw	11	St12B	4
St12B5	Straw	11	St12B	5
St13B1	Straw	12	St13B	1
St13B2	Straw	12	St13B	2
St13B3	Straw	12	St13B	3
St13B4	Straw	12	St13B	4
St13B5	Straw	12	St13B	5
St14B1	Straw	13	St14B	1
St14B2	Straw	13	St14B	2
St14B3	Straw	13	St14B	3
St14B4	Straw	13	St14B	4
St14B5	Straw	13	St14B	5
St1B1	Straw	1	St1B	1
St1B2	Straw	1	St1B	2
St1B3	Straw	1	St1B	3
St1B4	Straw	1	St1B	4
St1B5	Straw	1	St1B	5
St3B1	Straw	3	St3B	1
St3B2	Straw	3	St3B	2
St3B3	Straw	3	St3B	3
St3B4	Straw	3	St3B	4
St3B5	Straw	3	St3B	5
St4B1	Straw	4	St4B	1
St4B2	Straw	4	St4B	2
St4B3	Straw	4	St4B	3
St4B4	Straw	4	St4B	4
St4B5	Straw	4	St4B	5
St5B1	Straw	5	St5B	1
St5B2	Straw	5	St5B	2
St5B3	Straw	5	St5B	3
St5B4	Straw	5	St5B	4
St5B5	Straw	5	St5B	5
St6B1	Straw	6	St6B	1
St6B2	Straw	6	St6B	2
St6B3	Straw	6	St6B	3
St6B4	Straw	6	St6B	4
St6B5	Straw	6	St6B	5
St7B1	Straw	7	St7B	1
St7B2	Straw	7	St7B	2
St7B3	Straw	7	St7B	3
St7B4	Straw	7	St7B	4
St7B5	Straw	7	St7B	5
St8B1	Straw	8	St8B	1
St8B2	Straw	8	St8B	2
St8B3	Straw	8	St8B	3
St8B4	Straw	8	St8B	4
St8B5	Straw	8	St8B	5
St9B1	Straw	9	St9B	1
St9B2	Straw	9	St9B	2
St9B3	Straw	9	St9B	3
St9B4	Straw	9	St9B	4
St9B5	Straw	9	St9B	5
