SampleID	richness	shannon_e
Bs10A1	1240	6.23
Bs10A2	1071	5.97
Bs10A3	1239	6.19
Bs10A4	1208	6.05
Bs10A5	1210	6.11
Bs12A1	1157	6.16
Bs12A2	1116	6.07
Bs12A3	1181	6.16
Bs12A4	860	5.55
Bs12A5	894	5.64
Bs13A1	1167	6.13
Bs13A2	1117	6.11
Bs13A3	1112	6.03
Bs13A4	1147	6.14
Bs13A5	1270	6.23
Bs14A1	1206	6.14
Bs14A2	1165	6.17
Bs14A3	1262	6.24
Bs14A4	1233	6.17
Bs14A5	1195	6.11
Bs1A1	1220	6.04
Bs1A2	1160	6.16
Bs1A3	1232	6.11
Bs1A4	1256	6.09
Bs1A5	1160	6.01
Bs2A1	1041	5.54
Bs2A2	1088	6.03
Bs2A3	1042	5.44
Bs2A4	1305	6.24
Bs2A5	1112	5.42
Bs3A1	1230	6.17
Bs3A2	1160	6.14
Bs3A3	1233	6.24
Bs3A4	1268	6.31
Bs3A5	1291	6.31
Bs4A1	1241	6.23
Bs4A2	1068	5.65
Bs4A3	1094	5.7
Bs4A4	1036	5.53
Bs4A5	1058	5.76
Bs5A1	1280	5.96
Bs5A2	1272	6.17
Bs5A3	1196	5.74
Bs5A4	1238	6.12
Bs5A5	1215	5.78
Bs6A1	1179	6.14
Bs6A2	1216	6.17
Bs6A3	1204	6.17
Bs6A4	1271	6.28
Bs6A5	1190	6.06
Bs7A1	1090	6.06
Bs7A2	1117	5.61
Bs7A3	1018	5.28
Bs7A4	1086	5.94
Bs7A5	1278	6.2
Bs8A1	1308	6.2
Bs8A2	1266	6.11
Bs8A3	1206	6.04
Bs8A4	1169	5.96
Bs8A5	1162	6.07
Bs9A1	1289	6.33
Bs9A2	1358	6.33
Bs9A3	1123	6.08
Bs9A4	1101	6.05
Bs9A5	1162	6.11
Pt10C1	491	4.6
Pt10C2	500	4.92
Pt10C3	482	4.82
Pt10C4	468	4.87
Pt10C5	404	4.49
Pt11C1	440	4.57
Pt11C2	466	4.76
Pt11C3	494	4.8
Pt11C4	520	4.88
Pt11C5	507	4.88
Pt12C1	526	4.93
Pt12C2	491	4.91
Pt12C3	572	4.92
Pt12C4	546	5.17
Pt12C5	587	4.96
Pt13C1	483	4.94
Pt13C2	472	4.7
Pt13C3	531	5.08
Pt13C4	658	5.33
Pt13C5	572	5.09
Pt14C1	547	5.12
Pt14C2	463	4.95
Pt14C3	458	5.01
Pt14C4	472	4.66
Pt14C5	507	5.07
Pt1C1	410	4.72
Pt1C2	492	4.93
Pt1C3	512	4.92
Pt1C4	749	5.25
Pt1C5	695	5.15
Pt3C1	603	5.11
Pt3C2	547	5
Pt3C3	711	5.48
Pt3C4	602	5.22
Pt3C5	562	5.08
Pt4C1	678	5.31
Pt4C2	469	4.73
Pt4C3	558	5.01
Pt4C4	477	4.79
Pt4C5	404	4.62
Pt5C1	579	5.05
Pt5C2	551	5.08
Pt5C3	535	4.89
Pt5C4	667	5.37
Pt5C5	452	4.36
Pt6C1	385	4.62
Pt6C2	539	4.75
Pt6C3	242	3.14
Pt6C4	317	3.99
Pt6C5	396	4.59
Pt7C1	580	5.06
Pt7C2	663	5.31
Pt7C3	614	5.17
Pt7C4	621	5.04
Pt7C5	644	5.23
Pt8C1	532	4.95
Pt8C2	613	5.13
Pt8C3	669	5.32
Pt8C4	628	5.14
Pt8C5	553	5.07
Pt9C1	420	4.58
Pt9C2	401	4.61
Pt9C3	408	4.74
Pt9C4	383	3.88
Pt9C5	476	4.82
St10B1	523	4.8
St10B2	429	4.37
St10B3	417	3.99
St10B4	458	4.49
St10B5	389	4.18
St11B1	307	3.78
St11B2	333	4.18
St11B3	298	4.15
St11B4	362	4.2
St11B5	204	2.97
St12B1	453	4.71
St12B2	421	4.46
St12B3	431	4.49
St12B4	423	4.53
St12B5	419	4.48
St13B1	807	5.29
St13B2	767	5.22
St13B3	862	5.35
St13B4	857	5.35
St13B5	751	5.15
St14B1	741	4.97
St14B2	727	4.88
St14B3	734	5.12
St14B4	594	4.39
St14B5	701	5.12
St1B1	329	4.35
St1B2	378	4.53
St1B3	392	4.24
St1B4	461	4.34
St1B5	312	4.1
St3B1	812	5.07
St3B2	762	5.15
St3B3	695	4.87
St3B4	765	5.23
St3B5	723	4.76
St4B1	276	3.88
St4B2	223	3.49
St4B3	279	4.07
St4B4	237	3.74
St4B5	222	3.11
St5B1	688	5.02
St5B2	452	4.68
St5B3	805	5.12
St5B4	794	5.14
St5B5	687	4.85
St6B1	317	4.14
St6B2	257	3.02
St6B3	259	3.97
St6B4	345	4.3
St6B5	344	4.39
St7B1	248	3.63
St7B2	292	3.95
St7B3	245	3.66
St7B4	289	3.34
St7B5	141	2.74
St8B1	292	3.54
St8B2	336	3.48
St8B3	434	4.24
St8B4	251	3.36
St8B5	417	4.56
St9B1	436	3.81
St9B2	303	2.61
St9B3	332	2.9
St9B4	328	3.95
St9B5	288	3.24
